City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
503,mandera,3.9366,41.867,28.1,65,85,6.86,KE,1697329841
504,fada,9.5667,8.3,20.24,89,82,0.28,NG,1697329841
505,kalmunai,7.4167,81.8167,24.69,84,34,1.11,LK,1697329841
506,lashio,22.9333,97.75,18.58,92,26,0.38,MM,1697329841
507,singaraja,-8.112,115.0882,30.02,57,3,0.94,ID,1697329842
508,tamandare,-8.7597,-35.1047,24.9,76,89,3.83,BR,1697329842
509,ornskoldsvik,63.2909,18.7153,1.53,80,100,6.69,SE,1697329842
510,lubang,13.8584,120.124,28.4,77,26,7.92,PH,1697329842
511,sao joao da barra,-21.6403,-41.0511,21.05,88,100,3.98,BR,1697329718
512,ha'il,27.5219,41.6907,21.01,21,0,2.06,SA,1697329842
513,eirunepe,-6.6603,-69.8736,25.41,76,38,1.59,BR,1697329843
514,altamira,-3.2033,-52.2064,28.67,51,88,0.59,BR,1697329843
515,bandon,51.7469,-8.7425,4.77,87,19,1.67,IE,1697329843
516,afsin,38.2477,36.914,12.98,55,33,0.7,TR,1697329843
517,bonthe,7.5264,-12.505,25.22,88,100,1.47,SL,1697329843
518,lahad datu,5.0268,118.327,28.43,73,37,2.26,MY,1697329844
519,warrnambool,-38.3833,142.4833,12.61,77,100,7.28,AU,1697329844
520,yabrud,33.9674,36.6574,14.12,65,0,1.86,SY,1697329844
521,renon - ritten,46.5415,11.4573,9.9,93,100,1.6,IT,1697329844
522,reggane,26.7158,0.1714,24.96,22,21,0.74,DZ,1697329844
523,manokwari,-0.8667,134.0833,28.11,73,100,2.46,ID,1697329845
524,dryden,49.7833,-92.7503,6.16,81,0,2.06,CA,1697329845
525,eldoret,0.5204,35.2699,14.05,88,0,5.14,KE,1697329845
526,nishinoomote,30.7333,131.0,22.31,68,20,7.2,JP,1697329845
527,gaspe,48.8334,-64.4819,9.95,93,100,4.12,CA,1697329741
528,bodo,67.28,14.405,5.02,68,100,6.69,NO,1697329846
